ALTER,USA,EU,JAPAN,CHINA,INDIA,RUSSIA,KOREA
30.0,3855.5962200000004,5837.002813,1079.24666,24921.381441,15745.270330000001,2327.204,770.866984
31.0,3889.3604060000002,5928.4617020000005,1020.6333039999998,25165.159219,15356.163334,2198.475,781.854825
32.0,3919.193196,6015.749146,956.565308,25287.048107,15018.299136000001,2184.723,792.062739
33.0,3987.10664,6096.966702000001,894.5366020000001,24802.959219,14698.052222999999,2151.849,801.305437
34.0,4095.335492,6146.28648,845.5047420000002,23834.781441,14355.924651,2148.191,809.407255
35.0,4220.275455,6145.955924,812.4441260000001,22382.514774,13998.467037,2112.145,816.204497
36.0,4332.927714,6081.485369,792.6936670000001,21414.336996,13662.948519,2064.534,821.547549
37.0,4429.845899,5980.411258,777.27592,20930.248107,13362.528766,1978.177,825.3027440000001
38.0,4508.356924000001,5868.503258,763.253475,20468.47033,13064.318889,2076.79,827.353996
39.0,4565.746972999999,5750.703369,750.5711710000002,19544.914774,12734.693375,1958.346,827.604201
40.0,4584.106097,5632.073146,742.573468,18159.581441,12386.010247,1975.618,825.97639
41.0,4563.726381,5509.51048,741.1919149999999,17236.025885,12057.553457,1821.841,822.414653
42.0,4511.909245000001,5400.985813,749.967353,16774.248107,11762.849754,1792.896,816.884824
43.0,4441.344368,5301.621146,773.046764,16815.914774,11469.442346,1793.882,809.3749240000001
44.0,4349.301776,5210.481369,814.0234609999999,16899.248107,11144.442346,1854.726,799.8953740000001
45.0,4234.136998,5131.677035,874.085673,17024.248107,10795.950165,1890.89,788.478967
46.0,4102.286739,5064.5619240000005,954.0002429999998,17107.581441,10449.563334,1980.68,775.1806
47.0,3975.368628,5032.62748,1054.9594659999998,17149.248107,10091.995433,2130.165,760.076772
48.0,3864.7630229999995,5022.384368999999,1176.7108029999997,16628.914774,9668.970741,2275.896,743.264846
49.0,3775.2877259999996,5042.1968130000005,1308.047673,15588.248107,9148.03247,2322.53,724.86207
50.0,3690.0456280000003,5054.737258,1422.777346,14027.248107,8582.466526,2456.764,705.004361
51.0,3596.6024350000002,5038.185924,1483.02602,12986.581441,8066.699672,2319.478,683.8448559999999
52.0,3466.8828280000002,4904.919702,1466.0004139999999,12466.248107,7659.266712999999,2286.441,661.552222
53.0,3303.671352,4694.65448,1383.1767010000003,12121.57134,7333.1147120000005,2259.931,638.308725
54.0,3119.809293,4450.084035,1284.566934,11433.407703,7034.355340000001,2161.014,614.3080719999999
55.0,2962.462098,4308.5318130000005,1221.4457360000004,10402.947097,6743.420922,2114.28,589.7530059999999
56.0,2837.3734440000003,4225.545591,1213.6986180000004,9720.732956,6481.494772,2121.991,564.852667
57.0,2737.703748,4205.161702,1238.3804059999998,9385.57538,6262.820772,1893.525,539.819718
58.0,2630.723909,4212.1765909999995,1258.3438740000001,9278.528916,6067.089721,1964.004,514.867229
59.0,2522.536273,4243.158035,1253.6258070000001,9053.726895,5866.603027,1826.613,490.205328
60.0,2422.4813649999996,4239.3919240000005,1230.962483,8711.16932,5659.059032,1789.383,466.03761299999996
61.0,2347.706716,4168.973258,1210.2774829999998,8486.367299,5460.082488,1809.201,442.557324
62.0,2291.300792,4064.4320350000003,1201.680934,8379.320834999999,5268.313714,1472.484,419.943284
63.0,2241.5401699999998,3971.145629,1200.6306020000002,8247.563259,5056.14383,1440.057,398.355595
64.0,2178.133145,3878.384854,1194.101956,7959.060229000001,4801.843194,1274.604,377.931103
65.0,2095.122678,3779.413193,1176.1540280000002,7512.621845000001,4522.096019,761.548,358.778621
66.0,2000.538916,3674.6394969999997,1149.6190459999998,7191.991542,4253.346112,574.783,340.97392
67.0,1920.3447609999998,3616.00895,1121.028166,7024.536995999999,4010.224975,515.703,324.554475
68.0,1868.3988829999998,3578.565847,1091.962621,6789.581440999999,3769.750863,798.237,309.513983
69.0,1842.80043,3545.797078,1059.859521,6345.848107,3506.6650799999998,1193.226,295.796633
